Prompt,gif_path,Geometry Rating,Prompt Adherence Rating
fireplace,GIFs/output-0.gif,2,3
column,GIFs/output-1.gif,2,3
plant,GIFs/output-2.gif,2,3
vine,GIFs/output-3.gif,2,3
tree,GIFs/output-4.gif,3,3
carnivorous plant,GIFs/output-5.gif,1,2
flower,GIFs/output-6.gif,2,3
mushroom,GIFs/output-7.gif,3,3
stained glass,GIFs/output-8.gif,2,3
arch,GIFs/output-9.gif,1,2
table,GIFs/output-10.gif,2,3
bench,GIFs/output-11.gif,3,3
sofa,GIFs/output-12.gif,3,3
bed,GIFs/output-13.gif,2,3
chair,GIFs/output-14.gif,2,1
hammock,GIFs/output-15.gif,2,3
container,GIFs/output-16.gif,3,2
stool,GIFs/output-17.gif,3,3
desk,GIFs/output-18.gif,2,3
bookshelf,GIFs/output-19.gif,3,3
cabinet,GIFs/output-20.gif,2,3
sink,GIFs/output-21.gif,1,2
urinal,GIFs/output-22.gif,2,3
barrel,GIFs/output-23.gif,2,3
chest,GIFs/output-24.gif,2,3
shower head,GIFs/output-25.gif,1,1
crate,GIFs/output-26.gif,3,3
warehouse rack,GIFs/output-27.gif,3,3
door stop,GIFs/output-28.gif,3,2
toilet,GIFs/output-29.gif,1,1
latch,GIFs/output-30.gif,1,1
door knob,GIFs/output-31.gif,3,2
hinge,GIFs/output-32.gif,1,1
ATM,GIFs/output-33.gif,2,3
bracket,GIFs/output-34.gif,1,1
control panel,GIFs/output-35.gif,1,1
ceiling fan,GIFs/output-36.gif,2,3
vending machine,GIFs/output-37.gif,2,3
cash register,GIFs/output-38.gif,2,2
hook,GIFs/output-39.gif,1,1
ticket machine,GIFs/output-40.gif,1,1
street light,GIFs/output-41.gif,3,3
intercom,GIFs/output-42.gif,3,3
hanging lamp,GIFs/output-43.gif,2,3
kiosk,GIFs/output-44.gif,1,1
stoplight,GIFs/output-45.gif,2,3
chandelier,GIFs/output-46.gif,2,3
television,GIFs/output-47.gif,1,3
TV,GIFs/output-48.gif,1,2
refrigerator,GIFs/output-49.gif,1,2
stove,GIFs/output-50.gif,1,2
banner,GIFs/output-51.gif,3,3
oven,GIFs/output-52.gif,1,2
microwave,GIFs/output-53.gif,1,1
washing machine,GIFs/output-54.gif,1,2
curtains,GIFs/output-55.gif,2,3
tapestry,GIFs/output-56.gif,1,1
security camera,GIFs/output-57.gif,2,3
painting,GIFs/output-58.gif,2,2
toaster,GIFs/output-59.gif,3,3
statue,GIFs/output-60.gif,2,2
rug,GIFs/output-61.gif,3,3
gravestone,GIFs/output-62.gif,2,2
totem pole,GIFs/output-63.gif,1,1
candle,GIFs/output-64.gif,2,2
fountain,GIFs/output-65.gif,1,2
book,GIFs/output-66.gif,3,3
anatomical model,GIFs/output-67.gif,3,1
bust,GIFs/output-68.gif,1,2
vase,GIFs/output-69.gif,3,3
figurine,GIFs/output-70.gif,1,1
mug,GIFs/output-71.gif,3,3
cup,GIFs/output-72.gif,2,3
pill bottle,GIFs/output-73.gif,2,3
plate,GIFs/output-74.gif,2,3
bottle,GIFs/output-75.gif,3,3
fire hydrant,GIFs/output-76.gif,1,2
stop sign,GIFs/output-77.gif,2,2
diving board,GIFs/output-78.gif,1,1
phone booth,GIFs/output-79.gif,2,2
safety cone,GIFs/output-80.gif,3,3
slide,GIFs/output-81.gif,2,3
basketball hoop,GIFs/output-82.gif,2,3
swingset,GIFs/output-83.gif,3,3
rollercoaster,GIFs/output-84.gif,1,1
skate ramp,GIFs/output-85.gif,1,1
christmas tree,GIFs/output-86.gif,1,2
volleyball net,GIFs/output-87.gif,1,1
menorah,GIFs/output-88.gif,2,3
oxygen tank,GIFs/output-89.gif,2,2
jack o lantern,GIFs/output-90.gif,2,2
microscope,GIFs/output-91.gif,2,3
wreath,GIFs/output-92.gif,1,1
robot arm,GIFs/output-93.gif,2,2
laptop,GIFs/output-94.gif,3,3
phone,GIFs/output-95.gif,2,2
IV stand with bag,GIFs/output-96.gif,2,1
iphone,GIFs/output-97.gif,1,2
xray machine,GIFs/output-98.gif,1,1
android phone,GIFs/output-99.gif,1,1
flashlight,GIFs/output-100.gif,2,3
camera,GIFs/output-101.gif,2,3
handheld radio,GIFs/output-102.gif,1,3
drill,GIFs/output-103.gif,2,2
bandage,GIFs/output-104.gif,2,3
first aid kit,GIFs/output-105.gif,2,3
syringe,GIFs/output-106.gif,3,3
stethoscope,GIFs/output-107.gif,1,1
saw,GIFs/output-108.gif,3,1
medical kit,GIFs/output-109.gif,2,2
hammer,GIFs/output-110.gif,2,2
wheel barrow,GIFs/output-111.gif,2,3
wagon,GIFs/output-112.gif,1,2
toolbox,GIFs/output-113.gif,2,3
screw,GIFs/output-114.gif,3,3
needle,GIFs/output-115.gif,3,3
nail,GIFs/output-116.gif,2,3
cartridge,GIFs/output-117.gif,2,3
bolt,GIFs/output-118.gif,2,3
battery,GIFs/output-119.gif,2,3
baseball glove,GIFs/output-120.gif,1,1
tennis racquet,GIFs/output-121.gif,2,3
soccer ball,GIFs/output-122.gif,3,3
basketball,GIFs/output-123.gif,2,3
piano,GIFs/output-124.gif,2,3
baseball,GIFs/output-125.gif,1,1
guitar,GIFs/output-126.gif,1,3
tennis ball,GIFs/output-127.gif,3,3
violin bow,GIFs/output-128.gif,1,1
flute,GIFs/output-129.gif,2,2
cello,GIFs/output-130.gif,2,3
harp,GIFs/output-131.gif,2,3
violin,GIFs/output-132.gif,2,3
gun,GIFs/output-133.gif,2,3
magic wand,GIFs/output-134.gif,3,3
battle axe,GIFs/output-135.gif,1,1
sword,GIFs/output-136.gif,3,3
spear,GIFs/output-137.gif,3,3
magic staff,GIFs/output-138.gif,2,2
rifle,GIFs/output-139.gif,2,3
bow,GIFs/output-140.gif,3,3
drum,GIFs/output-141.gif,2,3
grenade,GIFs/output-142.gif,2,3
machine gun,GIFs/output-143.gif,3,3
scope,GIFs/output-144.gif,2,3
stock,GIFs/output-145.gif,1,1
flame thrower,GIFs/output-146.gif,1,2
silencer,GIFs/output-147.gif,2,2
arrow,GIFs/output-148.gif,3,3
bomb,GIFs/output-149.gif,2,3
shirt,GIFs/output-150.gif,3,3
ammunition,GIFs/output-151.gif,3,3
shoe,GIFs/output-152.gif,2,3
space suit,GIFs/output-153.gif,2,2
pants,GIFs/output-154.gif,2,3
skirt,GIFs/output-155.gif,2,3
jacket,GIFs/output-156.gif,1,3
jersey,GIFs/output-157.gif,2,3
robe,GIFs/output-158.gif,1,2
chainmail shirt,GIFs/output-159.gif,1,1
exosuit,GIFs/output-160.gif,2,2
hat,GIFs/output-161.gif,1,2
bandana,GIFs/output-162.gif,2,3
mask,GIFs/output-163.gif,3,3
glasses,GIFs/output-164.gif,2,3
scarf,GIFs/output-165.gif,2,3
tactical vest,GIFs/output-166.gif,2,3
armor,GIFs/output-167.gif,2,3
goggles,GIFs/output-168.gif,2,3
headband,GIFs/output-169.gif,2,3
tiara,GIFs/output-170.gif,1,2
crown,GIFs/output-171.gif,2,3
belt,GIFs/output-172.gif,2,3
bracelet,GIFs/output-173.gif,2,3
eyepatch,GIFs/output-174.gif,2,3
mustache,GIFs/output-175.gif,3,3
wig,GIFs/output-176.gif,3,3
cane,GIFs/output-177.gif,3,3
beard,GIFs/output-178.gif,3,3
gloves,GIFs/output-179.gif,1,2
necklace,GIFs/output-180.gif,1,2
purse,GIFs/output-181.gif,1,2
potato,GIFs/output-182.gif,3,3
carrot,GIFs/output-183.gif,3,3
egg,GIFs/output-184.gif,2,3
raw meat,GIFs/output-185.gif,2,2
orange,GIFs/output-186.gif,2,1
bread,GIFs/output-187.gif,3,3
apple,GIFs/output-188.gif,3,3
pizza,GIFs/output-189.gif,2,2
cake,GIFs/output-190.gif,1,2
sandwich,GIFs/output-191.gif,1,1
soda can,GIFs/output-192.gif,2,2
sports car,GIFs/output-193.gif,1,3
juice box,GIFs/output-194.gif,1,2
water bottle,GIFs/output-195.gif,2,3
